Sample	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	Kallisto_mqc-generalstats-kallisto-percent_aligned	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-median_sequence_length	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads
fastqc | ERR4508079	85.0	22680019.0		48.0	49.92725228319132	0.0	85	
fastqc | ERR4508080	85.0	24571421.0		49.0	54.262498661116176	9.090909090909092	85	
fastqc | ERR4508081	85.0	22242510.0		52.0	59.19631853911482	9.090909090909092	85	
fastqc | ERR4508082	85.0	21056937.0		49.0	50.47222416126185	9.090909090909092	85	
fastqc | ERR4508083	85.0	19977820.0		49.0	49.94680796847503	0.0	85	
fastqc | ERR4508084	85.0	22797973.0		50.0	56.38826404372671	9.090909090909092	85	
kallisto | ERR4508079 | ERR4508079			83.63198020248572					18967749.0
kallisto | ERR4508080 | ERR4508080			84.86439591751734					20852388.0
kallisto | ERR4508081 | ERR4508081			84.93118357595432					18890827.0
kallisto | ERR4508082 | ERR4508082			84.80505972924742					17857348.0
kallisto | ERR4508083 | ERR4508083			84.85856815208066					16952892.0
kallisto | ERR4508084 | ERR4508084			85.88881125528134					19580908.0
