"sample","group","PC","loadings"
"ERR978108","Adh","PC1",-50.4346524307631
"ERR978108","Adh","PC2",-27.8563759819153
"ERR978108","Adh","PC3",28.3074677192607
"ERR978108","Adh","PC4",14.8480179274421
"ERR978109","Adh","PC1",-49.98078395866
"ERR978109","Adh","PC2",-27.5364521368682
"ERR978109","Adh","PC3",27.904240807736
"ERR978109","Adh","PC4",14.6538364560971
"ERR978110","Adh","PC1",-49.8866436583037
"ERR978110","Adh","PC2",-28.9532449767396
"ERR978110","Adh","PC3",28.182286754807
"ERR978110","Adh","PC4",15.0021649747494
"ERR978111","Adh","PC1",-50.355562402482
"ERR978111","Adh","PC2",-28.7514661912895
"ERR978111","Adh","PC3",27.4235607586736
"ERR978111","Adh","PC4",13.7255443117269
"ERR978113","Adh","PC1",-49.4928382695616
"ERR978113","Adh","PC2",-27.6056115007263
"ERR978113","Adh","PC3",29.6460370006567
"ERR978113","Adh","PC4",14.2525675244435
"ERR978115","Adh","PC1",-50.1420626923002
"ERR978115","Adh","PC2",-34.0082822360159
"ERR978115","Adh","PC3",6.86228470347571
"ERR978115","Adh","PC4",-25.6438826922266
"ERR978116","Adh","PC1",-50.3445877536699
"ERR978116","Adh","PC2",-34.21516245053
"ERR978116","Adh","PC3",3.74081562011099
"ERR978116","Adh","PC4",-25.1955672835112
"ERR978117","Adh","PC1",-49.8501084529222
"ERR978117","Adh","PC2",-35.7113991000973
"ERR978117","Adh","PC3",4.18873469993582
"ERR978117","Adh","PC4",-26.7800152065318
"ERR978190","Sph","PC1",-49.3633523442008
"ERR978190","Sph","PC2",25.2120644733458
"ERR978190","Sph","PC3",-25.6906406881362
"ERR978190","Sph","PC4",-16.6637323856716
"ERR978192","Sph","PC1",-48.326988516979
"ERR978192","Sph","PC2",23.515912165315
"ERR978192","Sph","PC3",-27.8544954055131
"ERR978192","Sph","PC4",-15.471472715432
"ERR978195","Sph","PC1",-47.6710892040975
"ERR978195","Sph","PC2",24.7701952051123
"ERR978195","Sph","PC3",-27.703838419071
"ERR978195","Sph","PC4",-14.5841403479011
"ERR978215","Sph","PC1",64.356519444387
"ERR978215","Sph","PC2",34.4733659453112
"ERR978215","Sph","PC3",8.40058060524
"ERR978215","Sph","PC4",-10.1699509107697
"ERR978219","Sph","PC1",58.2473523466999
"ERR978219","Sph","PC2",30.2601506357476
"ERR978219","Sph","PC3",18.0956433703656
"ERR978219","Sph","PC4",-5.79337944432238
"ERR978220","Sph","PC1",59.3660732557569
"ERR978220","Sph","PC2",29.2763179464825
"ERR978220","Sph","PC3",17.2223927521381
"ERR978220","Sph","PC4",-6.34067450366543
"ERR978222","Sph","PC1",60.4762223253113
"ERR978222","Sph","PC2",28.3180722769385
"ERR978222","Sph","PC3",15.203706710717
"ERR978222","Sph","PC4",-6.00161158255775
"ERR978224","Sph","PC1",59.804980238283
"ERR978224","Sph","PC2",29.7707291314197
"ERR978224","Sph","PC3",16.9241740926716
"ERR978224","Sph","PC4",-6.33909051459612
"ERR978118","Adh","PC1",-49.9082749681807
"ERR978118","Adh","PC2",-35.6632010920321
"ERR978118","Adh","PC3",0.83186538292462
"ERR978118","Adh","PC4",-26.2649219957901
"ERR978120","Adh","PC1",-49.9775330970045
"ERR978120","Adh","PC2",-35.5107348984775
"ERR978120","Adh","PC3",3.47813544138901
"ERR978120","Adh","PC4",-25.9034258960027
"ERR978121","Adh","PC1",-49.9383494154025
"ERR978121","Adh","PC2",-34.0158312981651
"ERR978121","Adh","PC3",3.56092145866177
"ERR978121","Adh","PC4",-27.4355756687927
"ERR978142","Adh","PC1",67.4506612624996
"ERR978142","Adh","PC2",-41.8652114966152
"ERR978142","Adh","PC3",-18.7596100273507
"ERR978142","Adh","PC4",8.41105071726081
"ERR978144","Adh","PC1",66.0565868019823
"ERR978144","Adh","PC2",-40.6330173842446
"ERR978144","Adh","PC3",-17.260003524195
"ERR978144","Adh","PC4",9.64704591238841
"ERR978151","Adh","PC1",68.2018845605379
"ERR978151","Adh","PC2",-61.9164679101786
"ERR978151","Adh","PC3",-22.4993794129047
"ERR978151","Adh","PC4",13.626965700548
"ERR978107","Adh","PC1",-51.5566611129289
"ERR978107","Adh","PC2",-25.981367960191
"ERR978107","Adh","PC3",29.1587649671406
"ERR978107","Adh","PC4",15.0542824621342
"ERR978193","Sph","PC1",-48.1881364233454
"ERR978193","Sph","PC2",24.7509259617817
"ERR978193","Sph","PC3",-27.6576699674796
"ERR978193","Sph","PC4",-15.1453233344722
"ERR978112","Adh","PC1",-49.4424431253006
"ERR978112","Adh","PC2",-27.432615303654
"ERR978112","Adh","PC3",27.8879914792371
"ERR978112","Adh","PC4",13.22524309475
"ERR978212","Sph","PC1",63.3005210171394
"ERR978212","Sph","PC2",35.2616373641732
"ERR978212","Sph","PC3",10.0250448609561
"ERR978212","Sph","PC4",-9.41157671214465
"ERR978217","Sph","PC1",62.6486489927029
"ERR978217","Sph","PC2",34.8634718899089
"ERR978217","Sph","PC3",10.0936284897866
"ERR978217","Sph","PC4",-9.69525701101196
"ERR978143","Adh","PC1",67.1318375297399
"ERR978143","Adh","PC2",-41.4850232829278
"ERR978143","Adh","PC3",-17.6564895749769
"ERR978143","Adh","PC4",6.93200632088713
"ERR978147","Adh","PC1",67.6751140713756
"ERR978147","Adh","PC2",-61.8924832087806
"ERR978147","Adh","PC3",-23.2176744819429
"ERR978147","Adh","PC4",13.0247277451356
"ERR978221","Sph","PC1",59.1515078512335
"ERR978221","Sph","PC2",29.3963709486423
"ERR978221","Sph","PC3",15.6830743820013
"ERR978221","Sph","PC4",-5.77295286448817
"ERR978148","Adh","PC1",69.3093969072331
"ERR978148","Adh","PC2",-63.4121024705121
"ERR978148","Adh","PC3",-25.2118171966475
"ERR978148","Adh","PC4",12.3444218103706
"ERR978223","Sph","PC1",60.5026189333123
"ERR978223","Sph","PC2",29.2944063995315
"ERR978223","Sph","PC3",15.6477977905943
"ERR978223","Sph","PC4",-5.30061864077973
"ERR978149","Adh","PC1",67.9710645224901
"ERR978149","Adh","PC2",-62.6572182293717
"ERR978149","Adh","PC3",-24.7854121306969
"ERR978149","Adh","PC4",13.206898297218
"ERR978225","Sph","PC1",58.9813804325268
"ERR978225","Sph","PC2",30.416441833434
"ERR978225","Sph","PC3",19.1932362716017
"ERR978225","Sph","PC4",-5.58838279940555
"ERR978183","Sph","PC1",-43.7688284868736
"ERR978183","Sph","PC2",42.2376907417348
"ERR978183","Sph","PC3",-10.4719624409467
"ERR978183","Sph","PC4",26.3623013799908
"ERR978184","Sph","PC1",-44.5384327010928
"ERR978184","Sph","PC2",41.2960541240806
"ERR978184","Sph","PC3",-12.0611677746981
"ERR978184","Sph","PC4",27.364586227164
"ERR978185","Sph","PC1",-43.6224520143661
"ERR978185","Sph","PC2",42.1997521842639
"ERR978185","Sph","PC3",-13.6563137472531
"ERR978185","Sph","PC4",27.4619358812987
"ERR978186","Sph","PC1",-44.2774453158213
"ERR978186","Sph","PC2",40.7904436847797
"ERR978186","Sph","PC3",-14.0740549670681
"ERR978186","Sph","PC4",26.8444419654919
"ERR978187","Sph","PC1",-44.8261969534591
"ERR978187","Sph","PC2",42.3000122854178
"ERR978187","Sph","PC3",-12.8874580827469
"ERR978187","Sph","PC4",27.1594030234959
"ERR978188","Sph","PC1",-44.3560554418367
"ERR978188","Sph","PC2",41.6762327330552
"ERR978188","Sph","PC3",-10.6296897096326
"ERR978188","Sph","PC4",26.5873921708047
"ERR978191","Sph","PC1",-47.9277837188175
"ERR978191","Sph","PC2",24.4768421461524
"ERR978191","Sph","PC3",-26.0035996351417
"ERR978191","Sph","PC4",-16.3905600820645
"ERR978194","Sph","PC1",-49.2472661881886
"ERR978194","Sph","PC2",23.3664611052505
"ERR978194","Sph","PC3",-28.6688516559323
"ERR978194","Sph","PC4",-15.8318300010697
"ERR978213","Sph","PC1",63.4135016345056
"ERR978213","Sph","PC2",35.132926070533
"ERR978213","Sph","PC3",10.3340420409838
"ERR978213","Sph","PC4",-9.05106243324435
"ERR978216","Sph","PC1",63.3786565188416
"ERR978216","Sph","PC2",34.0467918569191
"ERR978216","Sph","PC3",8.7537006812687
"ERR978216","Sph","PC4",-8.95982887694593
