geneSymbol,ERR978118,ERR978120,ERR978121,ERR978193,ERR978107,ERR978112,ERR978184,ERR978185,ERR978186,ERR978187,ERR978191,ERR978194,ERR978116,ERR978117,ERR978119,ERR978195
UNC5CL,0.0420826155635124,1.1951850836507134,1.086165088563892,4.3076252084953675,-1.2104117384800086,2.055665641071398,3.947842545985679,4.175092642209043,3.4840684889827167,3.653627501296926,3.0139508079496267,3.617434419267863,2.6005800763058957,2.0254580100850896,-0.06081329139105791,3.4786500596720304
NANOG,-2.5820770160246824,-0.7188050813914517,-0.9859264234669839,1.4904065261934698,-2.583319024334372,-2.5515343368065357,1.4504422591277086,1.4546838108388949,1.4063195064569185,1.1602173987426632,0.4794994753354062,0.32189935621485394,-0.8426160433833019,0.37883318097580393,-2.5765905310389345,1.534214562433419
C1orf158,-1.3757378598519698,0.7955447090002201,2.286422537815796,3.6370680152853123,-1.331487242553116,1.7538606626064202,2.7381310186192565,3.5186181099443767,3.5217070131941366,2.029845684256244,1.884284413087911,2.6184756394638247,0.8054803686776061,-0.18890762844916384,-0.6869080370508489,1.8054220027873125
MAF,2.120107515426543,3.1311725074366827,3.1334254414501004,4.970009196770597,0.17094979464186588,1.187097806691572,4.429884280514646,4.547260541946673,4.509752226838085,4.532560520916677,4.947654053394066,4.878800389152832,1.8601566050979415,1.0469967048793152,2.404432412015383,4.786254412057181
HSD17B2,1.8861722530164613,2.629976458003017,1.6559760630919658,3.7506043940233837,0.395425294501808,1.593044724169292,3.998546254114317,3.623610040079709,3.5360393914237847,4.214580848301667,3.8633856338958967,3.940551462090111,1.9433738349224559,0.6589056670323868,1.9234960012592093,4.125094123781388
SLC30A2,0.5285704592052521,2.5807813401113995,0.544658985773927,3.213636896144329,-1.0969222810556924,0.20548478060416808,4.190573485718788,3.6230945334721167,3.2504490425784462,3.1501692648274027,2.8476833427178385,3.1728915919818355,1.0794023943262303,0.8213321867291598,1.0402489056125357,3.1477745562185633
SNX32,-2.5820770160246824,-0.17691509953627443,-0.9276149316408427,1.3682524569507506,-2.583319024334372,-2.5515343368065357,1.6493880219045407,0.7201371676079568,1.6440917721087924,1.493165742907035,1.5757295215781786,1.1241644317062536,0.3152539447521206,-2.5708184426808587,-0.9336876950492101,1.3773761433396556
C2orf88,0.6015428550198659,2.0364349383149567,0.8339615197751168,2.7865613915270546,-1.0414869424045798,0.6435789300348643,2.854903546587237,2.686540111800665,2.132706153151687,3.0260772360260053,3.164178925385327,2.6543206426465145,1.5321281352983913,-0.050877417689554824,2.534677136071084,3.9365200436340206
ZNF711,-0.6760607170406097,1.0145261626382032,0.5171129960685308,2.3551913677240903,-1.05237476141407,1.5888001301384542,3.220624665992705,2.868968391348435,2.6658564141196273,2.911489429540787,2.626635023583962,2.455921427399344,0.16539069467171852,-2.5708184426808587,-0.3319097210926172,2.6338714305523463
APOBEC4,-2.5820770160246824,-0.5734348457912992,0.5156578156076081,0.9081556792466656,-2.583319024334372,-0.5456373792657321,3.1559753499134815,1.614430156589015,1.9285071482126648,1.508082313712992,2.3935337353245405,3.268438157495987,-1.2416891646571726,-2.5708184426808587,0.22582879775306575,2.700848655102138
