geneSymbol,ERR978108,ERR978109,ERR978110,ERR978111,ERR978113,ERR978115,ERR978116,ERR978117,ERR978190,ERR978192,ERR978195,ERR978215,ERR978219,ERR978220,ERR978222,ERR978224,ERR978118,ERR978120,ERR978121,ERR978142,ERR978144,ERR978151,ERR978107,ERR978193,ERR978112,ERR978212,ERR978217,ERR978143,ERR978147,ERR978221,ERR978148,ERR978223,ERR978149,ERR978225,ERR978183,ERR978184,ERR978185,ERR978186,ERR978187,ERR978188,ERR978191,ERR978194,ERR978213,ERR978216
MYC,4.62692246047337,4.8439483307692575,4.333747543328761,5.143589309846664,4.885715443325049,5.610416757534655,5.639435692415335,6.092135715093233,4.926410141278947,4.888775034902817,3.828018906320942,4.225244999511977,3.967547473075206,4.355434514063874,4.3277820076175875,3.6837204841151348,6.176386248887121,5.5206001812935135,6.014248997401021,6.039642328651754,5.478464713982364,5.862588620531091,4.337183465577507,4.848269558601052,5.1110917929920925,3.9874581678833407,3.6875426964364832,5.578322034200252,6.02570711057837,3.683367782319575,5.797933010217443,3.560542886250487,5.311719514094387,3.325953101623833,1.7474800472732233,2.366361737819825,3.6486298193533857,-2.544396261288105,2.4024486496788398,-2.5270369770641645,4.7798091774516935,4.506510131780713,4.291439186456127,3.8581565874943826
INHBA,2.702533787916416,2.98703058661814,2.7119366084781396,2.5477365805355134,2.8573014054554107,4.043303940164467,4.265350006296065,4.2680058069169995,5.822748523545192,5.722474087747906,5.795045927696036,0.260229116935643,0.25943843027111163,1.1891548827837708,1.180668082038301,1.1931463791172758,3.961676255771329,4.228993977959372,4.183905687324424,3.233017474503692,2.5613506998566358,5.846266719805957,2.954449373524388,5.9076088412161,2.61418219395236,-1.2516114080794403,-0.5754686348608589,3.336227192081231,5.870021232101727,1.1846454214522093,5.871551532383597,0.5061459374346794,5.869484025175948,-0.09376404329531816,0.9333085942346298,-0.5390430911335722,1.210441469179773,-1.2253266592197525,-1.18196227520941,-2.5270369770641645,5.772709383206067,5.605529697441574,0.28411539926117135,0.2813449235119967
BACH2,0.2520107359718409,3.228777345227585,2.6394277201440604,0.44014414533995844,-0.6240907670264852,2.584058654511302,2.8420471380337347,2.922188324683108,3.258245552061256,1.1114838892688519,0.7337450929355733,0.4802092561627942,-2.5354306678128973,0.6785044817685371,-0.7721890691210136,-0.815439441472537,4.134097553293269,3.069242873983074,2.1017223852795133,2.096687508919895,3.4761139539996653,3.589896872568916,1.04467554954175,2.5244772043333215,2.09046485904147,-2.5697386178940618,-0.7719831543377116,1.566191008201001,3.5481504537196606,-0.9506815835223148,3.995382828110175,-2.5624242560625086,3.9173225944466834,-0.7494697273060084,-2.5321977414558594,-2.5390613413410836,-2.546703453196573,0.5345190695658957,3.4553345920362313,-0.7245120726309231,3.3946139700699565,4.362682285479649,3.3662058644077733,-2.57456143348126
PDGFB,5.153508535500277,5.594145569448508,5.6080172396054975,5.437208068480861,5.3511729517447275,4.447399648164339,4.849930944481693,5.529629273550026,3.893560943353105,3.288883143778244,3.5076059008860896,1.6409108903422054,3.5746569565653177,1.6730192380616717,2.842309172149597,2.082605750680064,5.402878830780346,5.153758437285902,4.694628501546007,4.9082358662062555,5.046120415966009,5.32409947531637,5.318891936412151,3.2905883724751885,4.982566558405194,1.6700367235990081,2.6284988154171924,4.870673246176483,5.72763337859421,1.6783211401109552,5.540264888679678,1.673147931707265,5.509921678728253,2.587603751331409,3.913353602235969,3.6449929001942802,2.8727515403471435,2.7242572258686417,2.917554590812396,2.284985058640678,3.363948457985544,3.356559397276819,2.06094168743654,2.623394595613067
CPA4,2.6491645680495957,4.8041576802500785,3.6248003677043563,4.127368555838136,2.6962782847661866,1.9270909088808448,3.1714016553932294,3.8533858939075674,0.33080020286662754,-0.5172265447395162,-0.4702652267082021,-2.594202246337365,-0.5333585326363718,-1.2768685058427844,1.0414647498534786,-2.551122892088278,1.5357689241755765,2.5027795458819417,2.922178373590797,3.3822561347059428,1.90150227688034,3.4236743060950823,3.7286647849257863,0.31777725011275043,3.6080686877376174,-2.5697386178940618,-0.7442084449077173,3.991211323102093,3.7244285053631456,-2.560196630443964,2.4987217662984156,-1.2866143637000116,2.3443172216716244,-0.7217447310025669,0.6387274159348219,0.0723563461108721,2.0111516958526416,2.128816109076552,-2.5007681002146516,-1.1204646698951921,1.2096128221488998,0.5567387236913718,-2.573685886567817,0.9668768541804783
PARVB,2.506557537225588,1.8279063318583262,2.380960668813951,1.744064754868811,1.7370840317441074,3.334625943063231,2.5089849798080133,2.7988906420487085,1.8903978362392042,1.2690948605071284,1.08242467853837,1.2043392389663476,0.9505656071501388,0.9282989949772265,2.1750985330351913,-0.7551390225677916,2.1460624831043917,2.713856927547442,2.173924807859442,3.0202815090584934,4.3964240424700005,4.136106041932908,2.703304391518407,0.6671685169438993,2.8311341174727485,-0.023784994673944494,0.9220637764394233,4.28245638628912,3.0912873723110232,-0.7637704883173351,3.747524285761686,0.4707324750209556,3.2394528428933316,-0.024693025773642293,0.9701267694230179,0.04513635524995212,1.7455605439388788,0.7738150510243947,-0.6956977556590681,-1.3131223007881132,2.746339365055169,2.0544212820256007,-0.02856843787787212,2.125637620585218
LGALS1,5.979551340993131,5.927701320430214,5.657893821635876,5.767994448742964,5.946398358665953,4.2758409171963345,4.792168309985587,4.523834316084526,3.0703951174001904,3.7049373399305474,3.369920119136368,1.7964462638668792,1.1993303183512987,1.5957736434445524,1.5885815865804584,0.4932388594176728,4.486128814294445,5.45590931449219,4.484488338407681,3.8797250080438315,3.4749692187062347,5.438893936986871,5.8526205816891395,3.4744408859362563,5.919448529055832,0.2776167164922247,0.8267287524175145,4.115038424220208,5.159788373621712,1.3103368292384487,5.804113355252436,1.6087638025544784,5.387001852529463,1.696344160436957,1.660972415205548,1.5888085798722658,2.1414277967546083,2.277732069278268,2.5422078372405763,1.652823505547905,4.700046470721836,2.597146296516128,2.2821898241097447,0.1733718590634691
ARL4C,8.14763240764199,8.24630939172752,8.250326948283755,8.340346673529147,8.22174551076386,7.874707477475102,7.8865677705158514,7.932242341046429,6.110091446285317,5.991704252423876,6.164639814768224,5.475599491507714,5.952835125051152,6.072577737292139,6.071151507955952,6.146851040656441,7.964745017137955,7.818059531688321,7.951643870986634,6.9929978528498165,6.958951511145069,7.83000583122185,8.32066835357254,6.107658864710446,8.248735163648703,5.82645036988118,5.494563922231544,7.01496029698435,7.843461048382422,6.148894240196791,7.8545209560960085,6.090560591975473,7.91136372779332,6.039954297558021,5.000714623957689,5.150053395899054,4.9746230096131505,5.040813480213883,5.000176208386293,5.088040178037665,6.336657499736816,6.223111111477099,5.556386831781955,5.278986594788938
FLNA,9.757053652537946,9.537074354050628,9.725250886945327,9.523547316765278,9.486089307689975,9.377057752999049,9.824573079631294,9.52837821698955,7.866668331412135,8.002210135807195,7.738525528039109,7.168809146371992,7.599832324717953,7.149085749829647,7.520749535824341,7.814328760044519,9.401856660533216,9.488326031755893,9.609349920318257,9.605379069003748,9.631601922789821,10.33709709716304,9.876201924652909,8.41975603523474,9.657640612270278,6.803438009976103,6.689864706167195,9.902862133355068,10.632958954507327,6.8136315272105445,10.538947977751992,6.878911407934741,10.722119061086298,7.3077850060592215,7.987817765305563,6.958639660747104,7.749490830432123,7.401785361915013,8.038109083037957,7.920291601232277,7.930348524855214,8.278271482451025,6.5756109159227005,6.729556237381574
AXL,6.701090105812651,6.94281921146326,6.7730059702333865,6.83783199942726,6.969339601504266,6.29002373920978,6.354821755924846,6.2183475008225795,3.752951155161236,3.9221523214217173,3.8060486015990813,2.1958772714702977,3.490457591761564,2.2278701249612674,3.3561855577135344,3.291345910160824,6.381596924756964,6.123351197532804,6.4474707523262484,7.196920162247803,7.367543487875931,7.997950804900147,6.757285106044465,3.9820120377000507,6.855305833907768,1.8272945510958656,2.4207572841198397,7.359047708866188,8.010655748274855,3.4406995083377745,8.074537197944313,2.898300467925739,8.039544594200168,3.4389223895649335,3.1534131390849223,3.161530640339215,3.862797227826217,4.0203878895722,3.7205194113741658,3.894721121285672,3.9128880814041036,2.994812973447243,3.1672088919954375,1.8194079441853792
