"","term_id","p_value","source","term_name","parents"
"1","GO:0050878","7.33290876540545e-07","GO:BP","regulation of body fluid levels","GO:0065008"
"2","GO:0050817","1.05998231786551e-06","GO:BP","coagulation","GO:0032501"
"3","GO:0007596","1.05998231786551e-06","GO:BP","blood coagulation","c(""GO:0007599"", ""GO:0042060"", ""GO:0050817"")"
"4","GO:0007599","1.05998231786551e-06","GO:BP","hemostasis","GO:0050878"
"5","GO:1903034","1.08071643147775e-06","GO:BP","regulation of response to wounding","c(""GO:0009611"", ""GO:0080134"")"
"6","GO:0051239","2.34349844229179e-06","GO:BP","regulation of multicellular organismal process","c(""GO:0032501"", ""GO:0050789"")"
"7","GO:0007155","2.34349844229179e-06","GO:BP","cell adhesion","GO:0009987"
"8","GO:1900046","2.34349844229179e-06","GO:BP","regulation of hemostasis","c(""GO:0007599"", ""GO:0050789"", ""GO:0050878"")"
"9","GO:0061045","2.34349844229179e-06","GO:BP","negative regulation of wound healing","c(""GO:0032102"", ""GO:0042060"", ""GO:0061041"", ""GO:1903035"")"
"10","GO:0030193","2.34349844229179e-06","GO:BP","regulation of blood coagulation","c(""GO:0007596"", ""GO:0032101"", ""GO:0050818"", ""GO:0061041"", ""GO:1900046"")"
"11","GO:0061041","2.38988983901717e-06","GO:BP","regulation of wound healing","c(""GO:0042060"", ""GO:1903034"")"
"12","GO:0050818","2.52310635949312e-06","GO:BP","regulation of coagulation","c(""GO:0050817"", ""GO:0051239"")"
"13","GO:0042060","3.7353964177561e-06","GO:BP","wound healing","GO:0009611"
"14","GO:0042981","6.82158064295421e-06","GO:BP","regulation of apoptotic process","c(""GO:0006915"", ""GO:0043067"")"
"15","GO:1903035","8.02400850037426e-06","GO:BP","negative regulation of response to wounding","c(""GO:0009611"", ""GO:0048585"", ""GO:1903034"")"
"16","GO:0051241","8.02400850037426e-06","GO:BP","negative regulation of multicellular organismal process","c(""GO:0032501"", ""GO:0048519"", ""GO:0051239"")"
"17","GO:0031589","8.02400850037426e-06","GO:BP","cell-substrate adhesion","GO:0007155"
"18","GO:0043067","8.02400850037426e-06","GO:BP","regulation of programmed cell death","c(""GO:0012501"", ""GO:0050794"")"
"19","GO:0030195","8.54272286045516e-06","GO:BP","negative regulation of blood coagulation","c(""GO:0007596"", ""GO:0030193"", ""GO:0050819"", ""GO:0061045"", ""GO:1900047"")"
"20","GO:1900047","9.02311553206257e-06","GO:BP","negative regulation of hemostasis","c(""GO:0007599"", ""GO:0048519"", ""GO:1900046"")"
"21","GO:0050819","1.16552647748651e-05","GO:BP","negative regulation of coagulation","c(""GO:0050817"", ""GO:0050818"", ""GO:0051241"")"
"22","GO:0051240","1.92674056534364e-05","GO:BP","positive regulation of multicellular organismal process","c(""GO:0032501"", ""GO:0048518"", ""GO:0051239"")"
"23","GO:0009611","2.58657489752081e-05","GO:BP","response to wounding","GO:0006950"
"24","GO:0006915","2.61331949108979e-05","GO:BP","apoptotic process","GO:0012501"
"25","GO:0042730","3.37430407569263e-05","GO:BP","fibrinolysis","GO:0030195"
"26","GO:0050793","3.37430407569263e-05","GO:BP","regulation of developmental process","c(""GO:0032502"", ""GO:0050789"")"
"27","GO:0005925","3.65777818899315e-05","GO:CC","focal adhesion","GO:0030055"
"28","GO:0030055","3.65777818899315e-05","GO:CC","cell-substrate junction","GO:0070161"
"29","GO:0010605","3.70042959907858e-05","GO:BP","negative regulation of macromolecule metabolic process","c(""GO:0009892"", ""GO:0043170"", ""GO:0060255"")"
"30","GO:0012501","3.80473533983125e-05","GO:BP","programmed cell death","GO:0008219"
"31","GO:0008219","3.83528919615821e-05","GO:BP","cell death","GO:0009987"
"32","GO:0051094","3.83617555782982e-05","GO:BP","positive regulation of developmental process","c(""GO:0032502"", ""GO:0048518"", ""GO:0050793"")"
"33","GO:0010757","4.45293403240462e-05","GO:BP","negative regulation of plasminogen activation","c(""GO:0010755"", ""GO:0010955"", ""GO:0031639"")"
"34","GO:0045595","4.84289414379053e-05","GO:BP","regulation of cell differentiation","c(""GO:0030154"", ""GO:0050793"", ""GO:0050794"")"
"35","GO:0030155","4.84289414379053e-05","GO:BP","regulation of cell adhesion","c(""GO:0007155"", ""GO:0050794"")"
"36","GO:1902533","6.05361762871315e-05","GO:BP","positive regulation of intracellular signal transduction","c(""GO:0009967"", ""GO:0035556"", ""GO:1902531"")"
"37","GO:0051172","6.44556059290112e-05","GO:BP","negative regulation of nitrogen compound metabolic process","c(""GO:0006807"", ""GO:0009892"", ""GO:0051171"")"
"38","GO:0050865","6.44556059290112e-05","GO:BP","regulation of cell activation","c(""GO:0001775"", ""GO:0050794"", ""GO:0051239"")"
"39","GO:2000026","6.68868048658457e-05","GO:BP","regulation of multicellular organismal development","c(""GO:0007275"", ""GO:0050793"", ""GO:0051239"")"
"40","GO:0009892","8.26691612951721e-05","GO:BP","negative regulation of metabolic process","c(""GO:0008152"", ""GO:0019222"", ""GO:0048519"")"
"41","GO:0010558","0.000116626446218501","GO:BP","negative regulation of macromolecule biosynthetic process","c(""GO:0009059"", ""GO:0010556"", ""GO:0010605"", ""GO:0031327"")"
"42","GO:0043066","0.00014522897147253","GO:BP","negative regulation of apoptotic process","c(""GO:0006915"", ""GO:0042981"", ""GO:0043069"")"
"43","GO:0031327","0.000148552374195637","GO:BP","negative regulation of cellular biosynthetic process","c(""GO:0009890"", ""GO:0031324"", ""GO:0031326"", ""GO:0044249"")"
"44","GO:0009890","0.000156456150790118","GO:BP","negative regulation of biosynthetic process","c(""GO:0009058"", ""GO:0009889"", ""GO:0009892"")"
"45","GO:0051918","0.000162698220929458","GO:BP","negative regulation of fibrinolysis","c(""GO:0030194"", ""GO:0032103"", ""GO:0042730"", ""GO:0048519"", ""GO:0051917"")"
"46","GO:0043069","0.000176699877014501","GO:BP","negative regulation of programmed cell death","c(""GO:0012501"", ""GO:0043067"", ""GO:0048523"")"
"47","GO:0048519","0.000197870807481992","GO:BP","negative regulation of biological process","c(""GO:0008150"", ""GO:0050789"")"
"48","GO:0051093","0.000197870807481992","GO:BP","negative regulation of developmental process","c(""GO:0032502"", ""GO:0048519"", ""GO:0050793"")"
"49","GO:0044092","0.000271133479565914","GO:BP","negative regulation of molecular function","GO:0065009"
"50","GO:0010810","0.00036572535956562","GO:BP","regulation of cell-substrate adhesion","c(""GO:0030155"", ""GO:0031589"")"
"51","GO:0048729","0.000382091718393444","GO:BP","tissue morphogenesis","c(""GO:0009653"", ""GO:0009888"")"
"52","GO:0051917","0.000382091718393444","GO:BP","regulation of fibrinolysis","c(""GO:0030193"", ""GO:0042730"")"
"53","GO:0080134","0.000382091718393444","GO:BP","regulation of response to stress","c(""GO:0006950"", ""GO:0048583"")"
"54","GO:0010755","0.000382091718393444","GO:BP","regulation of plasminogen activation","c(""GO:0031639"", ""GO:0070613"")"
"55","GO:0048856","0.000559172267189111","GO:BP","anatomical structure development","GO:0032502"
"56","GO:0043065","0.000628321045166516","GO:BP","positive regulation of apoptotic process","c(""GO:0006915"", ""GO:0042981"", ""GO:0043068"")"
