"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","phenotype"
"1","KOBAYASHI_EGFR_SIGNALING_24HR_DN","KOBAYASHI_EGFR_SIGNALING_24HR_DN",239,-0.813653253021172,-3.70884689373079,1e-10,2.4452736318408e-09,1.68682901283058e-09,1470,"tags=79%, list=11%, signal=72%","SMC2/SNRPD1/ABCE1/BARD1/CKS2/TMPO/BLM/NAP1L1/TUBA1A/TUBB4B/RMI1/DHFR/EEF1E1/TCOF1/CHAF1A/NOP56/DDX39A/PA2G4/RANGAP1/NCAPG2/NUDT15/PSMC3IP/TFDP1/DUT/GINS3/SLC43A3/SPDL1/AREG/DNAJC9/PLK4/PRPS1/NOLC1/POLR2D/RRM1/RFC4/MCM4/G0S2/E2F1/GALNT10/PKMYT1/E2F8/POLA1/RFWD3/SOX9/ZWILCH/TGFA/EXO1/NEMP1/POLA2/POLE2/PPIF/RAD51/TIMELESS/ECT2/BRCA1/RRP15/CDCA8/RANBP1/ZC3HAV1/ATAD2/CCNE2/GMNN/SPAG5/CDC42EP1/EREG/TIPIN/DCBLD2/DPAGT1/DUSP6/GPSM2/RFC2/ZWINT/PCNA/NCAPD3/CCNF/EXOSC8/FEN1/RACGAP1/MSH2/ETV5/RRM2/DSCC1/LMNB2/CSE1L/TNFRSF12A/FABP5/KIF18B/TRIP13/ASF1B/CDC25A/GTSE1/KIF15/MCM3/MCM5/ADORA2B/PRC1/BUB1B/HJURP/NOC3L/CKS1B/GINS1/LMNB1/ODC1/CENPU/KPNA2/MYBL2/NCAPG/RNASEH2A/TYMS/RFC3/MKI67/ORC1/SLC29A1/MCM7/RAD51AP1/CDCA3/CTPS1/KIF23/CENPN/DEPDC1/FANCI/MAD2L1/MELK/HMGB2/NDC80/NT5E/PUS7/SRM/CEP55/NEK2/EZH2/MCM6/CDCA4/PLK1/CCNA2/PAICS/MCM10/PSRC1/IER3/VRK1/CDK2/TTK/TOP2A/AURKA/AURKB/OASL/STC1/CDC45/KIF4A/SPC25/CDKN3/DKK1/HELLS/MCM2/TK1/NUSAP1/ESPL1/CDK1/DLGAP5/ERCC6L/TUBB/SHCBP1/MYBL1/NME1/KIF2C/UNG/BUB1/GINS2/BIRC5/CDT1/DTL/CCNB1/KIF14/PBK/CDC20/UBE2C/TPX2/UBE2S/TNFRSF6B/ASPM/CENPA/NCAPH/PRIM1/CDC6/HMMR/KIF11/HMGA2/FOSL1/AXL","adh"
"2","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER",133,-0.851487118702419,-3.63203877788603,1e-10,2.4452736318408e-09,1.68682901283058e-09,1470,"tags=82%, list=11%, signal=74%","SMC2/CKS2/TMPO/ANP32E/DHFR/PLEK2/FBXO5/RPA3/SPDL1/OIP5/MCM4/E2F1/KIF20B/SLC25A15/E2F8/POLA2/ECT2/BRCA1/PAQR4/SLC38A1/CDCA8/ATAD2/CCNE2/DTYMK/GMNN/SPAG5/ZWINT/PCNA/CCNF/FEN1/GINS4/RACGAP1/CHEK1/RRM2/DNA2/KIF18B/TRIP13/ASF1B/GTSE1/KIF15/PRC1/BUB1B/POLQ/HJURP/GINS1/LMNB1/CENPU/KPNA2/MYBL2/NCAPG/TYMS/MKI67/CENPF/RAD51AP1/CDCA3/KIF20A/KIF23/TACC3/FANCI/MAD2L1/MELK/HMGB2/NDC80/CEP55/NEK2/EZH2/PLK1/CCNA2/MCM10/APOBEC3B/FOXM1/TTK/TOP2A/AURKA/GGH/AURKB/KIF4A/HELLS/MCM2/TK1/NUSAP1/ESPL1/CCNB2/CDK1/DLGAP5/ERCC6L/KIFC1/PTTG1/SHCBP1/KIF2C/BUB1/BIRC5/DTL/CCNB1/CHAF1B/KIF14/EIF4EBP1/PBK/CDC20/UBE2C/TPX2/UBE2S/ASPM/CENPA/NCAPH/CDC6/HMMR/KIF11/HMGA1","adh"
"3","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP",145,-0.830235556625769,-3.55380808939557,1e-10,2.4452736318408e-09,1.68682901283058e-09,1457,"tags=77%, list=11%, signal=69%","CKS2/TMPO/BLM/GTPBP4/PARPBP/TIMM10/TUBA1A/DDX39A/FBXO5/MRPL12/NCAPG2/DNAJC9/NUDT1/PDSS1/GMPS/OIP5/RFC4/MCM4/HMGB3/MIS18A/E2F1/PKMYT1/TUBA1C/E2F8/EXO1/RAD51/TIMELESS/ECT2/CDCA8/SHMT2/BYSL/MRPL15/CCNE2/SPAG5/ZWINT/FEN1/RACGAP1/CHEK1/RRM2/DSCC1/KIF18B/TRIP13/CDC25A/GTSE1/KIF15/MCM3/PRC1/BUB1B/POLQ/HJURP/GINS1/LMNB1/CENPU/KPNA2/MYBL2/NCAPG/RNASEH2A/MKI67/CENPF/CDCA3/KIF20A/TACC3/CENPN/MAD2L1/MELK/NDC80/CEP55/NEK2/EZH2/MCM6/PLK1/CCNA2/MCM10/APOBEC3B/TUBA1B/VRK1/CDK2/FOXM1/TTK/TOP2A/AURKA/AURKB/CDC45/KIF4A/TROAP/CDKN3/MCM2/NUSAP1/ESPL1/CCNB2/CDK1/DLGAP5/KIFC1/PTTG1/NME1/KIF2C/BUB1/STMN1/BIRC5/CCNB1/KIF14/CDC20/SLC7A5/UBE2C/TPX2/UBE2S/ASPM/CENPA/NCAPH/HMMR/KIF11","adh"
"4","MEBARKI_HCC_PROGENITOR_FZD8CRD_UP","MEBARKI_HCC_PROGENITOR_FZD8CRD_UP",432,-0.719730179178588,-3.48232399187403,1e-10,2.4452736318408e-09,1.68682901283058e-09,1785,"tags=63%, list=13%, signal=56%","CEP57L1/NDE1/ZNF669/DDX11/TREX2/TUBB6/ARHGEF39/ARNT2/SACS/VIM/FAAP24/MICALL1/GPRC5A/NUP93/PANX2/DNMT3B/TONSL/KNTC1/ATF3/BARD1/CKS2/PPM1F/RUNX1/TMPO/BLM/CHEK2/MMS22L/ANXA3/PARPBP/FANCM/SLC44A2/TUBA1A/TUBB4B/DHFR/TCOF1/TMSB15B/C9orf40/CHAF1A/NUP155/PRIM2/BCL2L12/RANGAP1/CENPQ/FBXO5/KNL1/NCAPG2/NUP107/PSMC3IP/SUV39H2/TFDP1/TRIM59/GINS3/OGFRL1/SPDL1/CENPO/DNAJC9/PLK4/SAE1/C20orf27/HAUS6/LRR1/SASS6/MPHOSPH6/RRM1/TAF1A/OIP5/CENPP/G2E3/RFC4/SERPINB7/MELTF/PHLDB1/ADCY3/E2F1/RAD18/WDR76/KIF20B/MTHFD1L/PKMYT1/SUV39H1/TUBA1C/E2F8/RFWD3/ZWILCH/SLC13A3/EXO1/NEMP1/POLA2/POLE2/CHRNA5/KREMEN2/PPP1R18/RAD51/TIMELESS/ECT2/FAM111B/SGO2/BRCA1/IL17RD/MZT1/RBL1/TRAIP/CDCA8/CRISPLD2/RANBP1/CDC7/PHF19/ATAD2/CCNE2/CDC42EP3/DTYMK/KIF22/TIPIN/GPSM2/MCM8/RFC2/ZWINT/KNSTRN/MTBP/PCNA/RHEBL1/NCAPD3/CCNF/MTFR2/TMEM40/AUNIP/MSH2/CHEK1/ETV5/INCENP/NCAPD2/RRM2/DNA2/SKA1/CSE1L/SGO1/LIN9/NRGN/SLC37A2/TRIP13/ASF1B/BRCA2/CDC25A/GTSE1/SPC24/CEP128/KIF15/MCM5/NUF2/GPR63/KIF18A/ADORA2B/ESCO2/PRC1/BUB1B/PLAT/UBE2SP2/C4orf46/COTL1/POLQ/HJURP/CKS1B/GINS1/LMNB1/CENPU/KPNA2/CDC25C/MYBL2/NCAPG/ARHGAP19/RNASEH2A/TYMS/RFC3/MKI67/ORC1/ARHGAP11A/MCM7/CDCA3/KIF20A/KIF23/TACC3/CENPN/FANCI/RAD54L/MAD2L1/CENPW/MELK/DEPDC1B/HMGB2/KRT80/NDC80/NT5E/CEP55/NEK2/EZH2/FAM72C/SKA3/UBASH3B/CDCA4/PLK1/TCF19/TICRR/CCNA2/MCM10/PSRC1/GPR161/C1orf112/VRK1/CDK2/FOXM1/TTK/TOP2A/AURKA/AURKB/UHRF1/CDC45/KIF4A/SPC25/TROAP/CDKN3/MCM2/TK1/MICB/NUSAP1/CDCA5/ESPL1/CDK1/DLGAP5/ERCC6L/FAM72B/KIFC1/CENPH/DDIAS/FAM83D/PRR11/PTTG1/SHCBP1/WDHD1/KIF2C/BUB1/GINS2/STMN1/HBEGF/BIRC5/NES/CIT/CCNB1/FANCG/CPA4/CHAF1B/KIF14/PBK/ANLN/CDC20/FSCN1/ARSI/HERC5/SLC7A5/TPX2/ASPM/CENPA/PRIM1/CDC6/HMMR/DIAPH3/KIF11/MND1/HMGA2/CKAP2L/CDCA7/SCARA3","adh"
"5","WHITEFORD_PEDIATRIC_CANCER_MARKERS","WHITEFORD_PEDIATRIC_CANCER_MARKERS",102,-0.822968550556856,-3.38972373089859,1e-10,2.4452736318408e-09,1.68682901283058e-09,1494,"tags=81%, list=11%, signal=73%","EIF4A1/CKS2/TMPO/ILF3/TUBA1A/DHFR/CDK6/DNMT1/RRP1/PLK4/NUDT1/RFC4/GAPDH/MCM4/ADCY3/CDK4/HMGB3/E2F1/POLE2/MLLT11/CDCA8/ATAD2/DTYMK/ZWINT/PCNA/CKAP2/RRM2/LMNB2/ASF1B/CDC25A/MCM5/NUF2/ENO1/ZNF367/PRC1/POLQ/CKS1B/ODC1/CENPU/KPNA2/MYBL2/RNASEH2A/TYMS/RFC3/MKI67/CENPF/MCM7/CENPN/MAD2L1/MELK/NEK2/CCNA2/TTK/TOP2A/AURKA/GGH/UHRF1/CDC45/CDCA2/TK1/NUSAP1/CDCA5/ESPL1/CCNB2/CDK1/DLGAP5/PTTG1/NME1/BUB1/GINS2/STMN1/BIRC5/CCNB1/KIF14/EIF4EBP1/PBK/UBE2C/TPX2/CENPA/NCAPH/KIF11/MND1/CDCA7","adh"
"6","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN",159,-0.779097558379494,-3.37923340209691,1e-10,2.4452736318408e-09,1.68682901283058e-09,1196,"tags=69%, list=9%, signal=64%","RHNO1/KNL1/NCAPG2/FADS1/CENPO/PLK4/TFAP4/MEX3A/OIP5/MCM4/ZNF714/E2F1/WDR76/PKMYT1/SUV39H1/E2F8/EXO1/RAD51/ATAD5/FAM111B/BRCA1/RBL1/TRAIP/CDCA8/CDC7/SPAG5/ZWINT/FEN1/GINS4/MTFR2/RRM2/SKA1/EME1/SGO1/KIF18B/ASF1B/CDC25A/CLSPN/KIF15/NUF2/PRC1/BUB1B/NEIL3/HJURP/LMNB1/CDC25C/MYBL2/NCAPG/XRCC2/ORC1/CENPF/MCM7/CDCA3/KIF20A/THBD/TACC3/FANCI/RAD54L/DEPDC1B/CEP55/NEK2/SKA3/PLK1/TCF19/CCNA2/MCM10/PSRC1/FOXM1/TTK/TOP2A/AURKA/AURKB/UHRF1/CDC45/CDCA2/KIF4A/SPC25/TROAP/CDKN3/MCM2/TK1/NUSAP1/CDCA5/CCNB2/DDX12P/ERCC6L/KIFC1/PRR11/PTTG1/SHCBP1/WDHD1/KIF2C/GINS2/BIRC5/CDT1/DTL/CIT/FANCG/KIF14/ANLN/UBE2C/NCAPH/PRIM1/CDC6/PADI3/HMMR/DIAPH3/KIF11/MND1/CDCA7","adh"
"7","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN",163,-0.775805142724467,-3.37144935847734,1e-10,2.4452736318408e-09,1.68682901283058e-09,1514,"tags=78%, list=11%, signal=70%","KNTC1/LRP4/CKS2/BLM/CHEK2/PARPBP/ANP32E/ANXA1/FBXO5/SERTAD4/C5/NCAPG2/DUSP10/TRIM59/PLK4/EPB41L2/HMGN2/IQGAP3/E2F8/EXO1/NEMP1/ACBD7/TIMELESS/SGO2/BRCA1/CENPK/TRAIP/CDCA8/SPAG5/FSTL1/KIF22/ZWINT/KNSTRN/CKAP2/RACGAP1/NCAPD2/RRM2/SKA1/POC1A/SGO1/EMP1/KIF18B/BRCA2/GTSE1/KIF15/NUF2/KIF18A/ESCO2/FAM72A/PRC1/BUB1B/POLQ/HJURP/CKS1B/GINS1/LMNB1/CENPU/KPNA2/MYBL2/ARHGAP19/XRCC2/MKI67/CENPF/ARHGAP11A/FANCD2/RAD51AP1/CDCA3/KIF20A/KIF23/TACC3/DEPDC1/FANCI/MAD2L1/BRIP1/MELK/DEPDC1B/HMGB2/NDC80/NEK2/SKA3/PLK1/PSRC1/FOXM1/TTK/TOP2A/AURKA/AURKB/CDC45/CDCA2/KIF4A/SPC25/TROAP/CDKN3/TK1/NUSAP1/CDCA5/ESPL1/CCNB2/CDK1/DLGAP5/FAM72B/KIFC1/PRR11/PTTG1/SHCBP1/GAS2L3/AK4/KIF2C/BUB1/BIRC5/DTL/CCNB1/KIF14/PBK/ANLN/CDC20/UBE2C/TPX2/ASPM/CENPA/NCAPH/HMMR/KIF11/MND1/CKAP2L/FAM72D/SERPINE1","adh"
"8","GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP","GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP",148,-0.782940942031404,-3.36872868084084,1e-10,2.4452736318408e-09,1.68682901283058e-09,1712,"tags=76%, list=13%, signal=67%","TUBB6/LAT/LSM5/SNRNP25/PRDX4/ZNF593/ITGB3BP/SMC2/SNRPD1/SORD/LEPR/XK/DHFR/FBXO5/DUT/RPA3/NUDT1/ACOT7/PDSS1/RRM1/OIP5/RFC4/MCM4/NPM3/IDH2/E2F8/POLE2/PPIF/RAD51/ECT2/CCNE1/BRCA1/RANBP1/SHMT2/CDC7/CCNE2/GMNN/SPAG5/ZWINT/FEN1/RACGAP1/CHEK1/RRM2/DSCC1/CSE1L/FABP5/KIF18B/TRIP13/KIF15/MCM5/PRC1/BUB1B/COTL1/CKS1B/GINS1/CENPU/KPNA2/NCAPG/ARHGAP19/RNASEH2A/TYMS/RFC3/CENPF/RAD51AP1/KIF20A/FANCI/MAD2L1/MELK/NDC80/CEP55/NEK2/EZH2/CCNA2/MCM10/APOBEC3B/VRK1/TTK/TOP2A/AURKA/GGH/AURKB/CDC45/KIF4A/SPC25/CDKN3/MCM2/TK1/NUSAP1/ESPL1/SYNCRIP/CCNB2/CDK1/DLGAP5/KIF2C/BUB1/GINS2/STMN1/BIRC5/SERPINB2/CCNB1/DLC1/PBK/CDC20/SLC7A5/UBE2C/TPX2/UBE2S/ASPM/CENPA/CDC6/HMMR/KIF11","adh"
"9","CROONQUIST_IL6_DEPRIVATION_DN","CROONQUIST_IL6_DEPRIVATION_DN",88,-0.845468067379915,-3.35883190994621,1e-10,2.4452736318408e-09,1.68682901283058e-09,1514,"tags=82%, list=11%, signal=73%","KNTC1/SMC2/CKS2/LIG1/ANP32E/DHFR/CHAF1A/DUT/PLK4/GMPS/OIP5/MCM4/POLE2/BRCA1/TRAIP/SKP2/CCNE2/DTYMK/SPAG5/KIF22/ZWINT/PCNA/CCNF/CHEK1/RRM2/TRIP13/CDC25A/MCM3/BUB1B/POLD1/CKS1B/GINS1/KPNA2/MYBL2/TYMS/RFC3/MKI67/MCM7/FANCI/MAD2L1/HMGB2/PLK1/CCNA2/APOBEC3B/FOXM1/TOP2A/AURKA/GGH/AURKB/CDC45/SPC25/CDKN3/MCM2/TK1/CCNB2/CDK1/KIFC1/PTTG1/KIF2C/BUB1/STMN1/CCNB1/KIF14/CDC20/UBE2C/TPX2/CENPA/NCAPH/CDC6/HMMR/KIF11/HMGA1","adh"
"10","RUIZ_TNC_TARGETS_DN","RUIZ_TNC_TARGETS_DN",131,-0.789753963690134,-3.34880079669945,1e-10,2.4452736318408e-09,1.68682901283058e-09,1459,"tags=72%, list=11%, signal=65%","BARD1/CKS2/TMPO/BLM/TUBB4B/DHFR/NCAPG2/GINS3/TMEM97/OGFRL1/SPDL1/CCDC86/DNAJC9/PRPS1/PDSS1/RRP7A/OIP5/RFC4/MCM4/CD44/E2F1/CALM2/IL7R/MRTO4/E2F8/RFWD3/ZWILCH/EXO1/CAV2/CCNE1/SLC38A1/DCTPP1/ATAD2/CCNE2/CDC42EP3/GMNN/TIPIN/ZWINT/FST/EXOSC8/FEN1/AUNIP/RRM2/DSCC1/TNFRSF12A/TRIP13/ASF1B/CDC25A/MCM3/MCM5/POLR1E/NXN/HJURP/GINS1/ODC1/SLC7A1/CENPU/TYMS/ORC1/MCM7/RAD51AP1/CTPS1/FANCI/RAD54L/MAD2L1/MELK/MCM6/CCNA2/MCM10/FOXM1/AURKB/CDC45/SPC25/DKK1/MCM2/PLAU/CDK1/DKC1/SHCBP1/MYBL1/KIF2C/GINS2/BIRC5/DTL/SERPINB2/PBK/THBS1/SLC7A5/UBE2C/PRIM1/CDC6/FOSL1/ITGBL1/CAV1","adh"
