"geneID","ERR978118","ERR978120","ERR978121","ERR978193","ERR978107","ERR978112","ERR978184","ERR978185","ERR978186","ERR978187","ERR978191","ERR978194","ERR978116","ERR978117","ERR978119","ERR978195","adh.AVG","sph.AVG","LogFC"
"A1BG",1.14,1.62,-0.52,0.65,0.79,0.12,1.01,1.03,1.81,1.36,0.96,1.08,0.17,0.01,0.92,2.07,0.53,1.25,0.72
"A1CF",3.39,3.39,3.91,4.51,1.57,2.19,2.43,2.22,2.71,2.23,3.74,4.21,1.83,2.05,0.87,3.57,2.4,3.2,0.8
"A2ML1",0.12,0.9,2.96,1.21,0.81,0.37,-0.52,0.4,0.39,2.3,0.45,-0.13,1.23,2.23,1.32,1.99,1.24,0.76,-0.48
"A4GALT",0.99,1.22,1.95,-0.52,0.59,1.24,1.25,0.77,0.77,0.79,0.48,0.51,0.75,0.74,1.4,0.84,1.11,0.61,-0.5
"AAAS",4.57,4.74,4.51,4.21,4.67,4.74,4.11,3.7,4.08,4.13,4.35,4.13,4.46,4.61,4.54,4.11,4.6,4.1,-0.5
"AACS",6.03,5.93,5.72,5.93,6.11,6.27,6.25,6.51,6.07,6.54,5.88,5.91,5.9,5.9,5.8,5.81,5.96,6.11,0.15
"AADAC",2.39,3.13,3.22,2.83,3.51,3.72,3.42,3.16,3.36,3.33,2.54,2.29,2.93,2.66,2.68,2.98,3.03,2.99,-0.04
"AADACP1",1.87,2.32,2.01,2.55,1.59,2.03,2.67,3.25,3.21,2.58,1.72,2.81,1.6,1.59,2.22,2.73,1.9,2.69,0.79
"AADAT",1.88,1.97,1.85,1.22,1.86,1.56,0.86,1.88,1.54,-0.52,1.92,0.86,0.85,1.83,1.2,1.66,1.63,1.18,-0.45
"AAED1",2.9,3.31,3.71,3.6,2.55,3.85,2.95,2.81,2.82,2.85,4.95,4.27,3.32,2.76,2.85,3.3,3.16,3.44,0.29
"AAGAB",6.55,6.48,6.62,6.63,6.36,5.93,6.52,6.38,6.49,6.61,6.68,6.67,6.71,6.3,6.73,6.72,6.46,6.59,0.13
"AAK1",7.2,7.25,7.15,6.45,6.85,6.77,6.4,6.73,6.41,6.32,6.61,6.59,7.21,7.04,7.69,6.45,7.14,6.49,-0.65
"AAMDC",1.87,1.82,2.21,1.7,2.81,2.49,2.51,3.15,3,3.11,2.26,1.88,1.88,1.06,1.63,2.15,1.97,2.47,0.5
"AAMP",7.52,7.4,7.32,7.65,7.39,7.2,7.49,7.6,7.63,7.53,7.68,7.7,7.6,7.63,7.54,7.65,7.45,7.62,0.17
"AAR2",3.68,3.65,4.24,3.38,4.63,4.93,5.09,4.7,4.8,5.14,3.34,4.39,3.53,4.82,4.67,5.11,4.27,4.49,0.22
"AARS",7.91,7.9,7.57,7.45,8.13,7.43,7.25,7.08,7.7,7.69,7.72,7.16,7.9,7.45,7.45,7.86,7.72,7.49,-0.23
"AARS2",4.38,3.62,4.17,3.85,4.13,4.08,4.52,4.41,4.22,4.17,4.58,4.02,4.65,4.16,4.23,4.29,4.18,4.26,0.08
"AARSD1",4.6,4.02,4.83,4.24,4.33,4.3,3.62,3.93,3.62,4.17,3.69,3.46,4.44,4.31,4.04,3.82,4.36,3.82,-0.54
