"sample" "condition" "cell_line" "replicate"
"2" "ERR978108" "Adh" 185 "a"
"3" "ERR978109" "Adh" 185 "a"
"4" "ERR978110" "Adh" 185 "a"
"5" "ERR978111" "Adh" 185 "a"
"6" "ERR978113" "Adh" 185 "a"
"7" "ERR978115" "Adh" 185 "b"
"8" "ERR978116" "Adh" 185 "b"
"9" "ERR978117" "Adh" 185 "b"
"35" "ERR978189" "Sph" 185 "a"
"36" "ERR978190" "Sph" 185 "b"
"37" "ERR978192" "Sph" 185 "b"
"38" "ERR978195" "Sph" 185 "b"
"39" "ERR978196" "Sph" 185 "b"
"45" "ERR978215" "Sph" 253 "a"
"46" "ERR978219" "Sph" 253 "b"
"47" "ERR978220" "Sph" 253 "b"
"48" "ERR978222" "Sph" 253 "b"
"49" "ERR978224" "Sph" 253 "b"
"58" "ERR978118" "Adh" 185 "b"
"59" "ERR978120" "Adh" 185 "b"
"60" "ERR978121" "Adh" 185 "b"
"64" "ERR978142" "Adh" 253 "a"
"65" "ERR978144" "Adh" 253 "a"
"66" "ERR978151" "Adh" 253 "b"
"73" "ERR978107" "Adh" 185 "a"
"74" "ERR978193" "Sph" 185 "b"
"75" "ERR978112" "Adh" 185 "a"
"77" "ERR978114" "Adh" 185 "a"
"86" "ERR978212" "Sph" 253 "a"
"89" "ERR978217" "Sph" 253 "a"
"90" "ERR978143" "Adh" 253 "a"
"91" "ERR978218" "Sph" 253 "a"
"92" "ERR978145" "Adh" 253 "a"
"93" "ERR978147" "Adh" 253 "b"
"94" "ERR978221" "Sph" 253 "b"
"95" "ERR978148" "Adh" 253 "b"
"96" "ERR978223" "Sph" 253 "b"
"97" "ERR978149" "Adh" 253 "b"
"98" "ERR978225" "Sph" 253 "b"
"100" "ERR978226" "Sph" 253 "b"
"123" "ERR978183" "Sph" 185 "a"
"124" "ERR978184" "Sph" 185 "a"
"125" "ERR978185" "Sph" 185 "a"
"126" "ERR978186" "Sph" 185 "a"
"127" "ERR978187" "Sph" 185 "a"
"128" "ERR978188" "Sph" 185 "a"
"129" "ERR978191" "Sph" 185 "b"
"130" "ERR978194" "Sph" 185 "b"
"137" "ERR978213" "Sph" 253 "a"
"138" "ERR978216" "Sph" 253 "a"
